

             Table 2.3 Credit card dataset

	 Variables: Name Month Food Social Travel Gas Clothes

  input i name month food social travel gas clothes

           -------------------------

     1   Jon     February     23.65   14.56  218.02   16.79   45.61
     2   Leigh   May          28.47    8.99  141.60   21.74   86.04
     3   Leigh   July         30.86    9.55  193.14   24.26   95.68
     4   Tom     July         24.13   15.97  190.40   35.71   20.02
     5   Jon     April        23.40   11.61  179.38   23.73   48.89
     6   Jon     November     23.11   16.71  178.78   20.55   47.96
     7   Leigh   September    32.14   12.34  165.65   17.62   66.40
     8   Leigh   August       25.92   20.78  201.18   32.97   70.96
     9   Leigh   November     31.52   16.62  177.50   20.95   71.18
    10   Jon     November     23.11   14.41  179.86   20.53   51.49
    11   Jon     November     22.80   11.35  184.55   20.94   50.36
    12   Leigh   September    32.83   13.93  158.65   17.04   69.41
    13   Leigh   November     31.13   12.82  179.57   20.67   69.01
    14   Tom     August       23.01   13.20  220.52   29.44   18.09
    15   Jon     December     21.09    9.90  180.66   22.95   47.87
    16   Leigh   August       30.90   13.29  202.22   32.29   68.71
    17   Leigh   December     37.36   15.63  184.22   20.32   71.74
    18   Tom     April        24.25   15.71  149.01   30.68   21.75
    19   Tom     April        21.83   14.95  154.43   30.48   21.09
    20   Jon     January      25.94   12.38  197.90   20.06   47.09
    21   Leigh   June         25.30   15.49  142.40   26.54   68.98
    22   Tom     July         23.97   18.25  196.68   36.32   21.61
    23   Tom     July         24.41   17.52  193.79   31.89   18.70
    24   Jon     January      26.56   15.92  202.06   22.90   45.66
    25   Jon     September    22.99   14.08  158.11   23.01   47.74
    26   Leigh   January      30.21   15.17  200.51   20.91   67.27
    27   Jon     January      22.41   11.54  200.74   20.57   53.02
    28   Jon     January      29.13   13.80  204.18   21.93   51.69
    29   Leigh   July         32.37   18.81  193.44   26.78  100.48
    30   Leigh   March        33.89   17.41  190.31   21.41   72.48
    31   Leigh   July         32.16   17.05  187.53   24.44   99.80
    32   Jon     October      19.17   11.06  180.50   22.00   53.15
    33   Leigh   January      25.73   11.48  201.39   18.27   71.44
    34   Tom     September    25.37   13.16  200.01   26.41   25.63
    35   Jon     June         28.62   13.28  142.58   16.50   49.52
    36   Leigh   May          30.14   14.16  143.01   18.00   86.93
    37   Leigh   August       30.98   16.29  198.10   32.10   69.07
    38   Jon     February     25.41   14.91  218.14   16.78   49.48
    39   Jon     August       21.27   13.23  194.11   26.44   48.40
    40   Leigh   July         34.84   15.49  191.26   23.78  103.64
    41   Leigh   July         32.87   17.07  193.53   28.62  101.96
    42   Leigh   September    34.65   14.23  162.08   16.56   69.57
    43   Leigh   August       28.28   16.50  203.02   31.53   72.50
    44   Jon     December     22.16   16.32  182.76   18.95   49.46
    45   Leigh   May          23.29   12.66  139.53   21.46   91.54
    46   Tom     September    19.88   18.03  198.42   31.60   18.76
    47   Tom     May          22.82   10.59  150.97   27.98   19.84
    48   Jon     August       17.76   18.14  202.07   26.60   50.38
    49   Tom     May          20.71   13.19  148.38   31.06   15.06
    50   Jon     November     26.05   19.03  183.29   15.90   55.07
    51   Jon     January      24.10    9.86  199.57   18.17   48.34
    52   Jon     February     22.87   13.63  217.43   20.44   52.03
    53   Jon     August       16.60   20.78  198.21   28.75   49.22
    54   Tom     August       29.52   15.64  224.83   27.98   18.00
    55   Jon     July         19.77   14.32  192.99   24.51   78.82
    56   Leigh   May          21.37   15.03  139.17   17.49   90.97
    57   Jon     June         28.12   14.46  138.76   19.29   40.91
    58   Jon     May          26.47    8.60  138.28   24.05   71.80
    59   Leigh   August       30.22   17.31  204.38   28.61   72.67
    60   Leigh   November     32.68   17.39  179.49   17.03   69.05
    61   Jon     March        23.58   15.98  188.24   18.34   46.84
    62   Tom     January      26.06   16.22  198.61   32.28   21.65
    63   Leigh   September    36.12    9.82  162.16   20.31   67.96
    64   Tom     March        24.36   12.63  201.11   33.02   17.78
    65   Jon     October      27.68   16.80  173.84   18.43   52.27
    66   Tom     September    19.39    8.02  200.09   28.36   17.52
    67   Tom     January      27.34   13.16  198.45   27.08   20.38
    68   Jon     January      22.18   12.24  200.21   21.14   50.70
    69   Tom     August       25.00   14.83  219.91   29.94   20.91
    70   Leigh   October      33.82   11.48  179.93   22.75   72.21
    71   Jon     October      20.31   15.94  182.06   20.74   51.18
    72   Tom     August       27.79   19.22  214.25   34.40   14.94
    73   Leigh   May          23.22   15.84  145.88   21.76   93.79
    74   Leigh   September    34.48   11.85  151.78   21.11   69.75
    75   Leigh   January      29.04   14.13  202.65   21.77   69.84
    76   Jon     December     25.77   12.07  178.87   21.82   54.98
    77   Jon     October      25.58   11.32  181.31   22.11   54.89
    78   Leigh   October      31.33   19.45  182.95   22.64   69.34
    79   Jon     May          22.30   10.46  143.50   19.06   72.84
    80   Leigh   February     37.45   16.55  227.23   21.29   78.43
    81   Tom     February     26.00   12.69  198.89   25.43   21.65
    82   Jon     November     22.95   11.97  181.55   22.80   49.81
    83   Tom     April        24.10   10.72  152.33   32.88   19.80
    84   Jon     January      24.78   12.74  201.31   21.63   44.88
