

         Table 2.7 Flights into JFK Airport

	Variables: 
      Airlines u = 1,..., 16
	  Y1 = Flight Time, histogram: Y1 < 120, [120, 220], Y1 > 220 
                                  with relative frequencies p11, p12, p13
	   {When u=10,14, Y1 > 220 becomes [220, 300], Y1 > 300, with p13 p14}
	  Y2 = Taxi In Time, histogram: Y2 < 4, [4, 10], Y2 > 10 
                                  with relative frequencies p21, p22, p23
	  Y3 = Arrival Delay Time, histogram: Y3 < 0, [0, 60], Y3 > 60
	                              with relative frequencies p31, p32, p33
	  Y4 = Taxi Out Time, histogram: Y4 < 16, [16, 30], Y4 > 30
	                              with relative frequencies p41, p42, p43
	  Y5 = Departure Delay Time, histogram: Y5 < 0, [0, 60], Y5 > 60
	                              with relative frequencies p51, p52, p53
	  Y6 = Weather Delay, histogram: Y6 = No, Yes, 
	                              with relative frequencies p61, p62

	input u p11 p12 p13  p21 p22 p23  p31 p32 p33  p41 p42 p43  p51 p52 p53  p61 p62

	              ------------------------------
     


  1 0.15 0.62 0.23  0.12 0.64 0.24  0.42 0.46 0.12  0.38 0.47 0.15  0.44 0.47 0.09  0.92 0.08
  2 0.89 0.11 0.00  0.21 0.65 0.14  0.52 0.39 0.09  0.45 0.40 0.15  0.32 0.60 0.08  0.90 0.10
  3 0.99 0.01 0.00  0.10 0.82 0.08  0.45 0.48 0.07  0.41 0.44 0.15  0.54 0.30 0.06  0.97 0.03
  4 0.22 0.60 0.18  0.27 0.67 0.06  0.47 0.50 0.03  0.55 0.37 0.08  0.37 0.60 0.03  0.99 0.01
  5 0.24 0.72 0.04  0.03 0.79 0.18  0.52 0.43 0.05  0.28 0.53 0.19  0.71 0.25 0.04  0.98 0.02
  6 0.95 0.05 0.00  0.31 0.57 0.12  0.51 0.37 0.12  0.51 0.37 0.12  0.46 0.42 0.12  0.96 0.04
  7 0.56 0.35 0.09  0.09 0.72 0.19  0.47 0.49 0.04  0.32 0.52 0.16  0.46 0.51 0.03  0.99 0.01
  8 0.81 0.19 0.00  0.07 0.72 0.21  0.49 0.44 0.07  0.50 0.41 0.09  0.21 0.73 0.06  0.99 0.01
  9 0.83 0.17 0.00  0.03 0.78 0.19  0.41 0.49 0.10  0.33 0.49 0.18  0.47 0.45 0.08  1.00 0.00
 10 0.00 0.01 (0.57, 0.42)  0.08 0.67 0.25  0.42 0.52 0.06  0.37 0.53 0.10  0.47 0.48 0.05  0.99 0.01
 11 0.90 0.09 0.01  0.14 0.66 0.20  0.38 0.50 0.12  0.42 0.42 0.16  0.50 0.41 0.09  0.96 0.04
 12 0.75 0.25 0.00  0.05 0.78 0.17  0.40 0.55 0.05  0.43 0.40 0.17  0.63 0.34 0.03  0.96 0.04
 13 0.85 0.14 0.01  0.08 0.72 0.20  0.49 0.40 0.11  0.36 0.46 0.18  0.58 0.34 0.08  0.99 0.01
 14 0.43 0.20 (0.21, 0.16)  0.23 0.66 0.11  0.46 0.44 0.10  0.29 0.53 0.18  0.57 0.34 0.09  0.98 0.02
 15 0.98 0.02 0.00  0.24 0.70 0.06  0.63 0.35 0.02  0.58 0.33 0.09  0.69 0.30 0.01  0.99 0.01
 16 0.58 0.36 0.06  0.57 0.42 0.01  0.53 0.43 0.04  0.89 0.09 0.02  0.01 0.96 0.03  0.99 0.01 
