
         Table 3.7 Energy usage

	Y1 = Type of Fuel: None, Gas, Oil, Elec(tricity) Coal
	        with relative frequencies p11 p12 p13 p14 p15 
	Y2 = Central Heating: No, Yes 
            with relative frequencies p21 p22

	  input u p11 p12 p13 p14 p15 p21 p22

	        -----------------

   1 0.00 0.87 0.07 0.05 0.01  0.09 0.91
   2 0.00 0.71 0.11 0.10 0.08  0.12 0.88
   3 0.00 0.83 0.08 0.09 0.00  0.23 0.77
   4 0.00 0.76 0.06 0.11 0.07  0.19 0.81
   5 0.00 0.78 0.06 0.09 0.07  0.12 0.88 
   6 0.00 0.90 0.01 0.08 0.01  0.22 0.78
   7 0.00 0.87 0.01 0.10 0.02  0.22 0.78
   8 0.00 0.78 0.02 0.13 0.07  0.13 0.87
   9 0.00 0.91 0.00 0.09 0.00  0.24 0.76
  10 0.25 0.00 0.41 0.14 0.20  0.09 0.91

