
     Table 4.8 Baseball data

   Variables:
	 Team (Concept), u=1,...,19
     Y1 = Number At-bats, interval [a1, b1]
	 Y2 = Number Hits, interval [a2, b2]
     Y3 = Age, interval [a3, b3] (not in text)
     Y4 = Weight, interval [a4, b4] (not in text)

   input u a1 b1 a2 b2 a3 b3 a4 b4 

       -----------------

  1 289 538  75 162 29 32 82 89  
  2  88 422  49 149 20 26 76 82  
  3 189 223 201 254 22 28 84 89  
  4 184 476  46 148 19 24 85 86    
  5 283 447  86 115 19 30 79 83  
  6  24  26 133 141 21 26 78 82   
  7 168 445  37 135 29 29 83 83 
  8 123 148 137 148 20 31 81 94   
  9 256 510  78 124 24 31 75 82 
 10 101 126 101 132 25 27 79 83  
 11 212 492  57 151 30 32 82 92
 12 177 245 189 238 27 32 89 95  
 13 342 614 121 206 21 25 79 97   
 14 120 439  35 102 23 33 86 88    
 15  80 468  55 115 29 31 78 81 
 16  75 110  75 110 23 27 83 88  
 17 116 557  95 163 33 35 85 91   
 18 197 507  52  53 19 23 81 94   
 19 167 203  48 232 26 29 87 92  



