
             Table 5.2 Finance data

	Variables:
	  Sector (concept): as listed; nu = size of sector
      Y1 = Job Cost, interval [a1, b1]
	  Y2 = Job Code, interval [a2, b2]
	  Y3 = Activity Code, interval [a3, b3]
	  Y4 = Monthly Cost, interval [a4, b4]
	  Y5 = Annual Budget, interval [a5, b5]

	input u Sector $ a1 b1 a2 b2 a3 b3 a4 b4 a5 b5 nu
  
	         -------------------------


  1 FMCG       1168 4139  1 7   1 20    650 495310   1000 1212300  605  
  2 Automotive 2175 4064  1 6   1 20    400 377168    400  381648   48  
  3 Telecomm   2001 4093  1 7   1 20   1290 250836   1290  500836   63  
  4 Publisher  2465 3694  1 3   4 20   5000  42817   5000   79367   12  
  5 Finance    2483 4047  1 7   2 20   6500 248629   6500  313501   40  
  6 Consultant 2484 4089  1 6   9 20   4510  55300   4510   74400   15  
  7 ConsumerGd 2532 4073  1 6   2 20   2900  77500   2901   77500   34  
  8 Energy     2542 3685  1 6   2 20   2930  54350   2930   54350   17  
  9 Pharmaceut 2547 3688  1 7   1 20   1350  49305  12450 1274700   31  
 10 Tourism    2604 3690  1 5   9 20   1600  31700   1600   31700   13  
 11 Textile    2697 4012  1 5   9  9  12800  54850  12800   94000   15   
 12 Services   3481 4058  1 1   9  9   8400  31500   8400   41700    3     
 13 DurableGd  2726 4068  1 5  10 20   5800  28300   3700   55400    3  
 14 Others     3042 4137  1 1   1 20    458  19400    458   19400   34  
