
     Table 6.9 and 6.13 Color taxonomy on intervals

	  Variables:
	    Y = Density, interval [a1, b1]
		Color taxonomy: (from Table 6.9)
          X1 = Tone == (X11, X12) = (dark, light) 
	      X2 = Shade == (X21, X22, X23, X24) = (purple, red, white, yellow) 
		  Xij values (see text) entered as interval weights, [a,a]
		X3 = Size, interval [a3, b3]

	input u a1 b1 a3 b3 X11 X11 X12 X12 X21 X21 X22 X22 X23 X23 X24 X24

             ----------------------------- 

  1 225 235  16 18  1 1 0 0  0 0 1 1 0 0 0 0 
  2 299 303  23 28  1 1 0 0  .5 .5 .5 .5 0 0 0 0 
  3 368 378  24 33  0 0 1 1  0 0 0 0 0 0 1 1
  4 270 290  22 25  0 0 1 1  0 0 0 0 1 1 0 0 
  5 277 285  20 24  1 1 0 0  .5 .5 .5 .5 0 0 0 0 
  6 371 377  31 37  1 1 0 0  0 0 1 1 0 0 0 0 
  7 322 338  29 33  0 0 1 1  0 0 0 0 0 0 1 1 
  8 214 216  15 19  1 1 0 0  1 1 0 0 0 0 0 0 
  9 335 345  27 31  0 0 1 1  0 0 0 0 1 1 0 0 
 10 155 163  12 15  1 1 0 0  1 1 0 0 0 0 0 0 
 11 300 310  26 28  1 1 0 0  0 0 1 1 0 0 0 0 
 12 206 208  14 17  1 1 0 0  1 1 0 0 0 0 0 0 
 13 238 246  16 19  0 0 1 1  0 0 0 0 1 1 0 0 
 14 340 350  28 33  0 0 1 1  0 0 0 0 1 1 0 0 
 15 196 202  11 16  1 1 0 0  .5 .5 .5 .5 0 0 0 0 
 16 244 252  17 19  1 1 0 0  0 0 1 1 0 0 0 0
 17 305 317  26 31  0 0 1 1  0 0 0 0 0 0 1 1 
 18 255 257  18 19  0 0 1 1  0 0 0 0 1 1 0 0 
 19 380 396  29 36  0 0 1 1  0 0 0 0 .5 .5 .5 .5 
 20 258 262  19 24  1 1 0 0  0 0 1 1 0 0 0 0 
