
    Table 6.9 and 6.14 Color taxonomy on histogarms

	Variables:
	    Y = Density, histogram  {[a1k, b1k), p1k; k=1,..,4}
		Color taxonomy: (from Table 6.9)
          X1 = Tone == (X11, X12) = (dark, light) 
	      X2 = Shade == (X21, X22, X23, X24) = (purple, red, white, yellow) 
		  Xij values (see text) entered as interval weights, [Xij, Xij]
		X3 = Size, histogram {[a31, b31), p31; [a32, b32], p32}]

	input u a11 b11 p11 a12 b12 p12 a13 b13 p13 a14 b14 p14 a31 b31 p31 a32 b32 p32 
             X11 X11 X12 X12 X21 X21 X22 X22 X23 X23 X24 X24

			  ----------------------------------------

  1 225 226 .2 226 231 .5 231 235 .3 235 236 .0  16 17 .5 17 18 .5  1 1 0 0  0 0 1 1 0 0 0 0 
  2 299 301 .5 301 303 .5 303 304 .0 304 305 .0  23 26 .4 26 28 .6  1 1 0 0  .5 .5 .5 .5 0 0 0 0 
  3 368 370 .1 370 374 .5 374 376 .2 376 378 .2  24 29 .5 29 33 .5  0 0 1 1  0 0 0 0 0 0 1 1
  4 270 277 .2 277 283 .6 283 290 .2 290 291 .0  22 23 .4 23 25 .6  0 0 1 1  0 0 0 0 1 1 0 0 
  5 277 280 .3 280 284 .5 284 285 .2 285 286 .0  20 22 .5 22 24 .5  1 1 0 0  .5 .5 .5 .5 0 0 0 0 
  6 371 374 .5 374 377 .5 377 378 .0 378 379 .0  31 34 .6 34 37 .4  1 1 0 0  0 0 1 1 0 0 0 0 
  7 322 326 .2 326 330 .2 330 334 .4 334 338 .2  29 31 .5 31 33 .5  0 0 1 1  0 0 0 0 0 0 1 1 
  8 214 216 1. 216 217 .0 217 218 .0 218 219 .0  15 17 .5 17 19 .5  1 1 0 0  1 1 0 0 0 0 0 0 
  9 335 340 .4 340 345 .6 345 346 .0 346 347 .0  27 29 .4 29 31 .6  0 0 1 1  0 0 0 0 1 1 0 0 
 10 155 157 .3 157 161 .4 161 163 .3 163 164 .0  12 13 .3 13 15 .7  1 1 0 0  1 1 0 0 0 0 0 0 
 11 300 302 .1 302 308 .8 308 310 .1 310 311 .0  26 28 1. 28 29 .0  1 1 0 0  0 0 1 1 0 0 0 0 
 12 206 208 1. 208 209 .0 209 210 .0 210 211 .0  14 16 .6 16 17 .4  1 1 0 0  1 1 0 0 0 0 0 0 
 13 238 242 .5 242 246 .5 246 247 .0 247 248 .0  16 17 .3 17 19 .7  0 0 1 1  0 0 0 0 1 1 0 0 
 14 340 343 .3 343 347 .4 347 350 .3 350 351 .0  28 30 .5 30 33 .5  0 0 1 1  0 0 0 0 1 1 0 0 
 15 196 199 .5 199 202 .5 202 203 .0 203 204 .0  11 13 .4 13 16 .6  1 1 0 0  .5 .5 .5 .5 0 0 0 0 
 16 244 246 .1 246 250 .8 250 252 .1 252 253 .0  17 19 1. 19 20 .0  1 1 0 0  0 0 1 1 0 0 0 0
 17 305 308 .2 308 314 .6 314 317 .2 317 318 .0  26 29 .7 29 31 .3  0 0 1 1  0 0 0 0 0 0 1 1 
 18 255 257 1. 257 258 .0 258 259 .0 259 260 .0  18 19 1. 19 20 .0  0 0 1 1  0 0 0 0 1 1 0 0 
 19 380 383 .1 383 388 .4 388 393 .3 393 396 .2  29 33 .5 33 36 .5  0 0 1 1  0 0 0 0 .5 .5 .5 .5 
 20 258 260 .5 260 262 .5 262 263 .0 263 264 .0  19 22 .4 22 24 .6  1 1 0 0  0 0 1 1 0 0 0 0 
