Airline  Y  = Flight Time
   u  {[a_{uk}, b_{uk}),p_{uk}; k=1,...,s_u} 
   1  {[40,100), 0.082;[100,180), 0.530;[180,240),0.172;[240,320),0.118;[320,380],0.098} 
   2  {[40,90),0.171;[90,140),0.285;[140,190),0.351;[190,240),0.022;[240,290],0.171}
   3  {[35,70),0.128;[70,135),0.114;[135,195),0.424;[195,255],0.334}
   4  {[20,40),0.060;[40,60),0.458;[60,80),0.259;[80,100),0.117;[100,120],0.106}
   5  {[200,250),0.164;[250,300),0.395;[300,350),0.340;[350,400],0.101}
   6  {[25,50),0.280;[50,75),0.301;[75,100),0.250;[100,125],0.169}
   7  {[10,50),0.117;[50,90),0.476;[90,130),0.236;[130,170],0.171}
   8  {[10,50),0.069;[50,90),0.368;[90,130),0.514;[130,170],0.049}
   9  {[20,35),0.066;[35,50),0.337;[50,65),0.281;[65,80),0.208;[80,95],0.108}
  10  {[20,40),0.198;[40,60),0.474;[60,80),0.144;[80,100),0.131;[100,120],0.053}
