Group u Y_1 = Pulse Rate     Y_2 = Running Time  
   1       [73, 114]      {[5.3, 6.2), .3; [6.2, 7.1), .5; [7.1, 8.3], .2}
   2       [70, 100]      {[5.5, 6.9), .4; [6.7, 8.0), .4; [8.0, 9.0], .2}
   3       [69, 91]       {[5.1, 6.6), .4; [6.6, 7.4), .4; [7.4, 7.8], .2} 
   4       [59, 89]       {[3.7, 5.8), .6; [5.8, 6.3], .4}
   5       [61, 87]       {[4.5, 5.9), .4; [5.9, 6.2], .6}
   6       [69, 95]       {[4.1, 6.1), .5; [6.1, 6.9], .5}
   7       [65, 78]       {[2.4, 4.8), .3; [4.8, 5.7), .5; [5.7, 6.2], .2}
   8       [58, 83]       {[2.1, 5.4), .2; [5.4, 6.0), .5; [6.0, 6.9], .3}
   9       [79, 103]      {[4.8, 6.5), .3; [6.5, 7.4); .5; [7.4, 8.2], .2}
  10       [40, 60]       {[3.2, 4.1), .6; [4.1, 6.7], .4}  
