     Household Characteristics: 
County       Y_1 = Fuel Types               Y_2 =  Rooms
  u    gas  electric  oil  wood   none    {1,2} {3,4,5} {>=6}  
  1   0.687  0.134  0.166  0.011  0.002   0.054  0.423  0.523   
  2   0.639  0.088  0.137  0.135  0.001   0.069  0.424  0.507   
  3   0.446  0.107  0.406  0.025  0.016   0.178  0.693  0.129   
  4   0.144  0.808  0.013  0.031  0.004   0.045  0.508  0.447   
  5   0.021  0.914  0.013  0.041  0.011   0.027  0.576  0.397   
  6   0.263  0.713  0.005  0.019  0.000   0.041  0.495  0.464  
  7   0.454  0.526  0.004  0.012  0.004   0.039  0.522  0.439   
  8   0.748  0.236  0.001  0.007  0.008   0.153  0.473  0.374  
  9   0.063  0.087  0.083  0.755  0.012   0.272  0.486  0.242   
 10   0.351  0.277  0.007  0.365  0.001   0.052  0.523  0.425   
 11   0.624  0.237  0.004  0.133  0.002   0.089  0.549  0.362    
 12   0.165  0.287  0.027  0.518  0.003   0.039  0.517  0.444     

County          Y_3 = Household Income             
  u    <10  [10,25) [25,50) [50,75) [75,100)[100,150) [150,200)  >= 200$    
  1   0.093  0.185   0.287   0.200    0.109   0.083     0.024    0.019   
  2   0.121  0.269   0.338   0.165    0.065   0.029     0.005    0.008   
  3   0.236  0.224   0.272   0.142    0.065   0.042     0.010    0.009   
  4   0.167  0.262   0.285   0.164    0.068   0.038     0.009    0.007   
  5   0.200  0.280   0.322   0.114    0.050   0.021     0.007    0.006    
  6   0.187  0.288   0.297   0.159    0.022   0.029     0.007    0.011   
  7   0.136  0.217   0.318   0.169    0.086   0.046     0.012    0.016    
  8   0.079  0.133   0.233   0.198    0.135   0.135     0.047    0.040    
  9   0.124  0.167   0.289   0.230    0.093   0.057     0.004    0.036   
 10   0.074  0.200   0.299   0.197    0.122   0.067     0.021    0.020    
 11   0.128  0.268   0.303   0.162    0.071   0.043     0.010    0.014   
 12   0.097  0.196   0.312   0.190    0.103   0.067     0.017    0.018








