 County Income by Gender: 
County         Y_1 = Males}                      Y_2 = Females}            #Males #Females
  u    p_{11}  p_{12}  p_{13}  p_{14}    p_{21}  p_{22}  p_{23}  p_{24}      N_1    N_2    
  1    0.213   0.434   0.281   0.072     0.329   0.506   0.149   0.016      56190  43139    
  2    0.354   0.475   0.148   0.023     0.615   0.328   0.052   0.005       7662   4519   
  3    0.333   0.460   0.184   0.023     0.359   0.490   0.138   0.013     156370 133458     
  4    0.407   0.407   0.156   0.030     0.723   0.230   0.034   0.013       3357   2110   
  5    0.510   0.385   0.085   0.020     0.732   0.262   0.006   0.000       1324    790    
  6    0.430   0.422   0.115   0.033     0.716   0.258   0.015   0.011       1970   1081    
  7    0.327   0.461   0.163   0.049     0.574   0.353   0.064   0.009       6832   5309     
  8    0.168   0.355   0.347   0.130     0.233   0.477   0.246   0.044     263225 187369    
  9    0.255   0.429   0.251   0.065     0.437   0.476   0.087   0.000        231    126    
 10    0.277   0.335   0.339   0.049     0.406   0.440   0.136   0.018       6069   3291    
 11    0.303   0.430   0.217   0.050     0.486   0.388   0.115   0.011      26477  17551     
 12    0.219   0.388   0.327   0.066     0.423   0.407   0.150   0.020       5827   3676   
