Cover-types Histogram Data: 
CoverType Y_j   Y_u = {[a_{ujk},b_{ujk}), p_{ujk};  k= 1,..., s_{uj}, j=1,...,p, u=1,...,m}     
   1      Y_1  {[2450, 2600),.0024; [2600, 2800),.0312; [2800, 3000),.1614; [3000, 3200),.4547;[3200, 3400),.3251; [3400, 3600),.0239; [3600, 3700],.0013}    
   1      Y_2  {[0, 1000),.1433; [1000, 2000),.2617; [2000, 3000),.2251; [3000, 4000),.1695; [4000, 5000),.1123; [5000, 6000),.0762; [6000, 7000],.0120}    
   1      Y_3  {[0, 100),.0015; [100, 150),.0229; [150, 180),.0808; [180, 210),.2966; [210, 240),.5099; [240, 260],.0883}    
   1      Y_4  {[0, 40),.1924; [40, 80),.1765; [80, 120),.1284; [120, 160),.0875; [160, 200),.0613; [200, 240),.0486; [240, 280),.0602; [280, 320),.1090; [320, 360],.1362}   
   2      Y_1  {[2100, 2300),.0009; [2300, 2500),.0085;[2500, 2700),.1242; [2700, 2900),.2887;[2900, 3100),.4084; [3100, 3300),.15932; [3300, 3450],.0100}    
   2      Y_2  {[0, 1000),.2077; [1000, 2000),.2838; [2000, 3000),.1960; [3000, 4000),.1227; [4000, 5000),.0836; [5000, 6000),.0846; [6000, 7500],.0217}    
   2      Y_3  {[0, 100),.0014; [100, 150),.0219; [150, 170),.0386; [170, 190),.0984; [190, 210),.2055; [210, 230),.3586; [230, 250),.2638; [250, 260],.0119}     
   2      Y_4  {[0, 40),.1631; [40, 80),.1749; [80, 120),.1428; [120, 160),.1095; [160, 200),.0836; [200, 240),.0746; [240, 280),.0691; [280, 320),.0742; [320, 360],.1083}    
   3      Y_1  {[1950, 2050),.0532;[2050, 2150),.2155; [2150, 2250),.2927; [2250, 2350),.3386; [2350, 2450),.0917; [2450, 2550],.0084}    
   3      Y_2  {[0, 300),.0572; [300, 600),.1787; [600, 900),.2228; [900, 1200),.2763; [1200, 1500),.2428; [1500, 1800],.0222}    
   3      Y_3  {[120, 140),.0033; [140, 160),.0120; [160, 180),.0397; [180, 200),.0837; [200, 220),.1740; [220, 240),.2774; [240, 260],.4099}     
   3      Y_4  {[0, 40),.0914; [40, 80),.1445; [80, 120),.2799; [120, 160),.2377; [160, 200),.0630; [200, 240),.0390; [240, 280),.0299; [280, 320),.0379; [320, 360],.0768}    
   4      Y_1  {[2450, 2550),.0199; [2550, 2650),.0665; [2650, 2750),.2413; [2750, 2850),.4034; [2850, 2950),.2474; [2950, 3050],.0216}     
   4      Y_2  {[0, 500),.2626; [500, 1000),.1699; [1000, 1500),.1419; [1500, 2000),.1974; [2000, 2500),.1428; [2500, 3500],.0488}    
   4      Y_3  {[120, 140),.0024; [140, 160),.0109; [160, 180),.0423; [180, 200),.1121; [200, 220),.1888; [220, 240),.3823; [240, 250),.2030; [250, 260],.0583}    
   4      Y_4  {[0, 40),.0863; [40, 80),.2261; [80, 120),.2335; [120, 160),.1255; [160, 200),.0944; [200, 240),.0560; [240, 280),.0618; [280, 320),.0537; [320, 360],.0627}    
   5      Y_1  {[1850, 2050),.0439; [2050, 2250),.1236; [2250, 2450),.3935; [2450, 2650),.3313; [2650, 2850),.1048; [2850, 2950], .0031}     
   5      Y_2  {[0, 400),.1282; [400, 800),.2692; [800, 1200),.2436; [1200, 1600),.1901; [1600, 2000),.0961; [2000, 2400),.0612; [2400, 2800),.0075; [2800, 3200],.0041}     
   5      Y_3  {[0, 60),.0004; [60, 100),.0014; [100, 140),.0701; [140, 180),.2871; [180, 220),.3928; [220, 240),.1918; [240, 260],.0565}     
   5      Y_4  {[0, 40),.2391; [40, 80),.1446; [80, 120),.0749; [120, 160),.0338; [160, 200),.0241; [200, 240),.0251; [240, 280),.0579; [280, 320),.1613; [320, 360],.2391}   
   6      Y_1  {[2850, 3050),.0041; [3050, 3250),.1138; [3250, 3350),.3220; [3350, 3450),.4460; [3450, 3650),.0878; [3650, 3850),.0260; [3850, 3950],.0004}    
   6      Y_2  {[0, 500),.0007; [500, 1000),.0714; [1000, 1500),.1948; [1500, 2000),.1392; [2000, 2500),.1373; [2500, 3000),.1422; [3000, 3500),.1073; 
                     [3500, 4000),.1136; [4000, 4500),.1102; [4500, 5500],.0734}                 
   6      Y_3  {[80, 110),.0010; [110, 140),.0052; [140, 170),.0317; [170, 190),.0982; [190, 220),.3491; [220, 240),.3600; [240, 250),.1275; [250, 260],.0274}   
   6      Y_4  {[0, 40),.1603; [40, 80),.1533; [80, 120),.1792; [120, 160),.1068; [160, 200),.1084; [200, 240),.0425; [240, 280),.0282; [280, 320),.0830; [320, 360],.1382}    
   7      Y_1  {[1850, 2050),.0503; [2050, 2200),.1882; [2200, 2400),.3496; [2400, 2600),.3239; [2600, 2800),.0863; [2800, 2900],.0017}    
   7      Y_2  {[0, 400),.2036; [400, 800),.2653; [800, 1200),.2374; [1200, 1800),.1973; [1800, 2400),.0660; [2400, 3000),.0258; [3000, 3600],.0045}   
   7      Y_3  {[40, 100),.0108; [100, 140),.0860; [140, 180),.1912; [180, 220),.2784; [220, 250),.3814; [250, 260],.0512}    
   7      Y_4  {[0, 40),.1160; [40, 80),.1059; [80, 120),.1462; [120, 160),.1340; [160, 200),.1031; [200, 240),.0788; [240, 280),.0596; [280, 320),.1152; [320, 360],.1413}    
