Simulated Histogram Data: 
 u     Y_1
 1    {[3.5,4.0),.020; [4.0,4.5),.165; [4.5,5.0),.325; [5.0,5.5),.290; [5.5,6.0),.150; [6.0,6.5],.050}  
 2    {[3.0,3.5),.005; [3.5,4.0),.020; [4.0,4.5),.160; [4.5,5.0),.300; [5.0,5.5),.340; [5.5,6.0),.150; [6.0,6.5),.020; [6.5,7.0],.005}  
 3    {[2.0,3.0),.025; [3.0,4.0),.135; [4.0,5.0),.360; [5.0,6.0),.345; [6.0,7.0),.125; [7.0,8.0],.010}  
 4    {[2.0,3.0),.050; [3.0,4.0),.130; [4.0,5.0),.355; [5.0,6.0),.290; [6.0,7.0),.145; [7.0,8.0],.030}   
 5    {[8.0,8.5),.005; [8.5,9.0),.020; [9.0,9.5),.205; [9.5,10.0),.255; [10.0,10.5),.340; [10.5,11.0),.155; [11.0,11.5),.015; [11.5,12.0],.005}   
 -----------------------------------------------------------------------------------------------------------------------------------------------
 u     Y_2     
 1    {[3.5,4.0),.035; [4.0,4.5),.160; [4.5,5.0),.345; [5.0,5.5),.300; [5.5,6.0),.120; [6.0,6.5),.025; [6.5,7.0],.015}   
 2    {[3.5,4.0),.035; [4.0,4.5),.165; [4.5,5.0),.275; [5.0,5.5),.305; [5.5,6.0),.165; [6.0,6.5),.050; [6.5,7.0],.005}  
 3    {[2.0,3.0),.020; [3.0,4.0),.155; [4.0,5.0),.295; [5.0,6.0),.345; [6.0,7.0),.170; [7.0,8.0),.015}   
 4    {[2.0,3.0),.030; [3.0,4.0),.135; [4.0,5.0),.360; [5.0,6.0),.330; [6.0,7.0),.115; [7.0,8.0],.025; [8.0,9.0],.005}   
 5    {[3.0,3.5),.005; [3.5,4.0),.020; [4.0,4.5),.150; [4.5,5.0),.365; [5.0,5.5),.300; [5.5,6.0),.135; [6.0,6.5),.020; [6.5,7.0],.005}    
